ckpt_name,epoch,step,loss_train,loss_val,acc_mean,acc_median,acc_std,acc_tail,lr
ckpt_e73_s114026.safetensors,73,114026,34.720523,33.831814,3.794305,3.025877,2.994196,3.885380,0.00009557
ckpt_e74_s115588.safetensors,74,115588,35.186212,33.636311,3.778800,3.004105,2.985887,3.863197,0.00009545
ckpt_e75_s117150.safetensors,75,117150,34.814731,34.004752,3.798331,3.021109,3.011884,3.883435,0.00009533
ckpt_e76_s118712.safetensors,76,118712,34.968773,33.854538,3.786641,3.011764,3.005208,3.873715,0.00009521
ckpt_e77_s120274.safetensors,77,120274,34.678597,33.357408,3.750860,2.978283,2.982679,3.829062,0.00009508
ckpt_e78_s121836.safetensors,78,121836,34.802798,33.774261,3.816127,3.055785,2.962473,3.895142,0.00009496
ckpt_e79_s123398.safetensors,79,123398,35.048439,33.558464,3.782381,3.013589,2.974065,3.865367,0.00009483
ckpt_e80_s124960.safetensors,80,124960,34.618635,33.423745,3.781171,3.018419,2.960924,3.860789,0.00009470
ckpt_e81_s126522.safetensors,81,126522,34.756220,33.238210,3.750714,2.985066,2.968351,3.828001,0.00009457
ckpt_e82_s128084.safetensors,82,128084,34.846404,33.407609,3.774108,3.012712,2.965194,3.849393,0.00009444
ckpt_e83_s129646.safetensors,83,129646,34.616066,33.339890,3.767709,3.003427,2.962159,3.850646,0.00009430
ckpt_e84_s131208.safetensors,84,131208,34.028682,33.636160,3.812478,3.054422,2.949552,3.890268,0.00009417
ckpt_e85_s132770.safetensors,85,132770,34.586999,33.605258,3.786860,3.017791,2.979184,3.872732,0.00009403
ckpt_e86_s134332.safetensors,86,134332,34.327384,33.871481,3.819949,3.048611,2.969698,3.904756,0.00009389
ckpt_e87_s135894.safetensors,87,135894,34.249332,33.474123,3.799326,3.038429,2.947187,3.878417,0.00009375
ckpt_e88_s137456.safetensors,88,137456,34.349609,33.206335,3.763597,2.999653,2.951387,3.843157,0.00009361
ckpt_e89_s139018.safetensors,89,139018,31.652538,33.214385,3.761193,3.000476,2.955653,3.833805,0.00009347
ckpt_e90_s140580.safetensors,90,140580,31.569939,33.285851,3.776809,3.016773,2.945718,3.848044,0.00009333
ckpt_e91_s142142.safetensors,91,142142,31.841423,33.306309,3.779592,3.022357,2.946779,3.859409,0.00009318
ckpt_e92_s143704.safetensors,92,143704,31.098694,34.221527,3.788785,3.000754,3.047132,3.900819,0.00009303
ckpt_e93_s145266.safetensors,93,145266,31.483611,33.371232,3.767342,3.003185,2.966645,3.849281,0.00009289
ckpt_e94_s146828.safetensors,94,146828,31.400943,33.187721,3.755719,2.993300,2.956038,3.830925,0.00009274
ckpt_e95_s148390.safetensors,95,148390,31.384558,33.252910,3.777463,3.018006,2.942901,3.853572,0.00009259
ckpt_e96_s149952.safetensors,96,149952,31.562008,33.180224,3.774277,3.018226,2.935233,3.846132,0.00009243
ckpt_e97_s151514.safetensors,97,151514,34.170103,33.207038,3.767966,3.004033,2.946826,3.840238,0.00009228
ckpt_e98_s153076.safetensors,98,153076,34.032442,33.155365,3.775845,3.024675,2.931375,3.845569,0.00009212
ckpt_e99_s154638.safetensors,99,154638,33.996337,33.488173,3.800618,3.048398,2.945306,3.871921,0.00009197
ckpt_e100_s156200.safetensors,100,156200,33.895294,32.990668,3.754518,3.001297,2.935133,3.826665,0.00009181
ckpt_e101_s157762.safetensors,101,157762,34.032428,32.989894,3.739721,2.980897,2.950158,3.814187,0.00009165
ckpt_e102_s159324.safetensors,102,159324,33.790807,32.888678,3.739099,2.982313,2.937273,3.808686,0.00009149
ckpt_e103_s160886.safetensors,103,160886,35.227391,32.965388,3.751394,2.998840,2.933662,3.823674,0.00009133
ckpt_e104_s162448.safetensors,104,162448,33.691837,33.194742,3.785424,3.032521,2.927176,3.867542,0.00009116
ckpt_e105_s164010.safetensors,105,164010,34.158956,33.193325,3.772241,3.016885,2.943253,3.844953,0.00009100
ckpt_e106_s165572.safetensors,106,165572,34.306979,32.757582,3.736884,2.986589,2.924114,3.810936,0.00009083
ckpt_e107_s167134.safetensors,107,167134,34.002298,32.878934,3.748852,2.998919,2.925994,3.820631,0.00009066
ckpt_e108_s168696.safetensors,108,168696,33.277668,32.765772,3.737521,2.985537,2.925777,3.807447,0.00009050
ckpt_e109_s170258.safetensors,109,170258,33.678733,32.806380,3.747722,2.994640,2.920536,3.813170,0.00009033
ckpt_e110_s171820.safetensors,110,171820,34.252646,32.926942,3.754332,2.999294,2.927641,3.826123,0.00009015
ckpt_e111_s173382.safetensors,111,173382,33.595772,33.407337,3.757400,2.989534,2.981010,3.850566,0.00008998
ckpt_e112_s174944.safetensors,112,174944,33.501341,32.699554,3.744183,3.000277,2.909755,3.813072,0.00008981
ckpt_e113_s176506.safetensors,113,176506,30.722786,32.727872,3.739610,2.991650,2.917411,3.808016,0.00008963
ckpt_e114_s178068.safetensors,114,178068,31.349113,32.796854,3.749961,2.999635,2.915526,3.816473,0.00008945
ckpt_e115_s179630.safetensors,115,179630,30.889016,33.059243,3.765460,3.014415,2.931507,3.831294,0.00008928
ckpt_e116_s181192.safetensors,116,181192,30.603587,33.015188,3.769831,3.016740,2.921334,3.845078,0.00008910
ckpt_e117_s182754.safetensors,117,182754,30.792946,32.686321,3.750663,3.007007,2.902203,3.815542,0.00008892
ckpt_e118_s184316.safetensors,118,184316,30.622504,32.932001,3.761188,3.012229,2.920680,3.835096,0.00008873
ckpt_e119_s185878.safetensors,119,185878,31.066166,32.996631,3.782822,3.037768,2.902615,3.851163,0.00008855
ckpt_e120_s187440.safetensors,120,187440,31.227438,32.816175,3.735982,2.983898,2.931192,3.811849,0.00008837
ckpt_e121_s189002.safetensors,121,189002,33.596565,32.671075,3.743648,2.996157,2.907802,3.812386,0.00008818
ckpt_e122_s190564.safetensors,122,190564,33.469149,32.558200,3.731540,2.989471,2.906079,3.801557,0.00008799
ckpt_e123_s192126.safetensors,123,192126,33.218224,32.645526,3.753137,3.013251,2.893048,3.816387,0.00008780
ckpt_e124_s193688.safetensors,124,193688,33.500292,32.708785,3.738176,2.986132,2.918744,3.816303,0.00008762
ckpt_e125_s195250.safetensors,125,195250,33.351130,32.780689,3.757042,3.008244,2.905033,3.823684,0.00008742
ckpt_e126_s196812.safetensors,126,196812,33.432815,32.469801,3.734217,2.994038,2.890768,3.796166,0.00008723
ckpt_e127_s198374.safetensors,127,198374,33.624993,32.523438,3.726452,2.981530,2.906325,3.795558,0.00008704
ckpt_e128_s199936.safetensors,128,199936,33.203700,32.497367,3.730825,2.990665,2.896149,3.797712,0.00008685
ckpt_e129_s201498.safetensors,129,201498,33.555778,32.551298,3.723386,2.975184,2.911683,3.786279,0.00008665
ckpt_e130_s203060.safetensors,130,203060,33.389958,32.613369,3.733652,2.983846,2.913051,3.799609,0.00008645
ckpt_e131_s204622.safetensors,131,204622,33.425894,32.540240,3.744391,3.001029,2.891060,3.806538,0.00008625
ckpt_e132_s206184.safetensors,132,206184,32.996326,32.464744,3.738227,3.000650,2.886758,3.800042,0.00008606
ckpt_e133_s207746.safetensors,133,207746,33.458681,32.476245,3.738889,2.999313,2.887672,3.802768,0.00008586
ckpt_e134_s209308.safetensors,134,209308,33.363553,32.724923,3.753058,3.010958,2.901794,3.824874,0.00008565
ckpt_e135_s210870.safetensors,135,210870,33.170262,32.570695,3.746309,3.008472,2.891326,3.806881,0.00008545
ckpt_e136_s212432.safetensors,136,212432,33.111657,32.407697,3.728573,2.988790,2.887935,3.794097,0.00008525
ckpt_e137_s213994.safetensors,137,213994,30.521619,32.430080,3.727464,2.987303,2.893874,3.789354,0.00008504
ckpt_e138_s215556.safetensors,138,215556,30.595497,32.495099,3.741151,3.003240,2.887150,3.804737,0.00008484
