ckpt_name,epoch,step,loss_train,loss_val,acc_mean,acc_median,acc_std,acc_tail,lr
ckpt_e86_s134332.safetensors,86,134332,28.098037,26.848500,2.789646,1.946631,3.044113,2.322399,0.00009389
ckpt_e87_s135894.safetensors,87,135894,27.945876,26.726368,2.791263,1.951379,3.030551,2.337965,0.00009375
ckpt_e88_s137456.safetensors,88,137456,27.752234,26.637342,2.786219,1.951627,3.024779,2.325499,0.00009361
ckpt_e89_s139018.safetensors,89,139018,25.461775,26.803127,2.808319,1.970216,3.025832,2.346602,0.00009347
ckpt_e90_s140580.safetensors,90,140580,25.506571,26.808056,2.787682,1.938341,3.042202,2.315742,0.00009333
ckpt_e91_s142142.safetensors,91,142142,25.334105,26.700431,2.792794,1.952970,3.023730,2.323453,0.00009318
ckpt_e92_s143704.safetensors,92,143704,25.144079,26.555766,2.771026,1.932403,3.025626,2.288510,0.00009303
ckpt_e93_s145266.safetensors,93,145266,25.254736,26.626432,2.791317,1.951470,3.015788,2.322946,0.00009289
ckpt_e94_s146828.safetensors,94,146828,25.063855,26.770624,2.793299,1.951069,3.032844,2.318513,0.00009274
ckpt_e95_s148390.safetensors,95,148390,25.404615,26.412192,2.766009,1.930034,3.007871,2.281935,0.00009259
ckpt_e96_s149952.safetensors,96,149952,25.459788,26.579303,2.785521,1.941209,3.015825,2.297197,0.00009243
ckpt_e97_s151514.safetensors,97,151514,27.412336,26.478522,2.776783,1.942671,3.010334,2.300158,0.00009228
ckpt_e98_s153076.safetensors,98,153076,27.442351,26.226193,2.777161,1.954920,2.974893,2.299681,0.00009212
ckpt_e99_s154638.safetensors,99,154638,27.148848,26.234714,2.768437,1.939928,2.986219,2.283121,0.00009197
ckpt_e100_s156200.safetensors,100,156200,27.449638,26.144467,2.768144,1.940922,2.975365,2.279840,0.00009181
ckpt_e101_s157762.safetensors,101,157762,27.302760,26.096667,2.773487,1.955769,2.966832,2.291935,0.00009165
ckpt_e102_s159324.safetensors,102,159324,27.317516,26.082665,2.769273,1.948694,2.965232,2.278639,0.00009149
ckpt_e103_s160886.safetensors,103,160886,27.365993,26.162901,2.783200,1.961940,2.967253,2.296544,0.00009133
ckpt_e104_s162448.safetensors,104,162448,26.996459,26.231589,2.791398,1.964131,2.970160,2.318618,0.00009116
ckpt_e105_s164010.safetensors,105,164010,27.394562,25.965262,2.746631,1.925551,2.967769,2.251009,0.00009100
ckpt_e106_s165572.safetensors,106,165572,27.144384,25.870462,2.750989,1.933736,2.954132,2.256114,0.00009083
ckpt_e107_s167134.safetensors,107,167134,27.188571,25.938800,2.753886,1.932166,2.958865,2.264645,0.00009066
ckpt_e108_s168696.safetensors,108,168696,26.692308,25.931227,2.768929,1.951120,2.948017,2.276064,0.00009050
ckpt_e109_s170258.safetensors,109,170258,27.004392,25.788803,2.747917,1.934967,2.942830,2.258837,0.00009033
ckpt_e110_s171820.safetensors,110,171820,27.056159,25.844771,2.744879,1.922887,2.953197,2.247484,0.00009015
ckpt_e111_s173382.safetensors,111,173382,26.828830,25.742767,2.738688,1.925348,2.944257,2.236004,0.00008998
ckpt_e112_s174944.safetensors,112,174944,26.801529,25.748489,2.742203,1.929932,2.942462,2.237066,0.00008981
ckpt_e113_s176506.safetensors,113,176506,24.631240,25.886799,2.760700,1.943107,2.951147,2.271284,0.00008963
ckpt_e114_s178068.safetensors,114,178068,24.763979,25.875965,2.740458,1.916763,2.961755,2.244314,0.00008945
ckpt_e115_s179630.safetensors,115,179630,24.535330,25.694282,2.734199,1.921289,2.941706,2.223080,0.00008928
ckpt_e116_s181192.safetensors,116,181192,24.308374,25.795623,2.745979,1.928934,2.947999,2.247665,0.00008910
ckpt_e117_s182754.safetensors,117,182754,24.550389,25.679733,2.730684,1.917865,2.940539,2.222680,0.00008892
