ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,lr
ckpt_e3_s111000.safetensors,3,111000,13.933572,2.403219,1.091837,3.784211,0.00009658
ckpt_e4_s112000.safetensors,4,112000,13.232025,2.431765,1.147990,3.762984,0.00009652
ckpt_e4_s113000.safetensors,4,113000,13.250304,2.421979,1.129224,3.766986,0.00009646
ckpt_e4_s114000.safetensors,4,114000,13.282659,2.380939,1.088899,3.776468,0.00009639
ckpt_e4_s115000.safetensors,4,115000,13.243593,2.415705,1.122016,3.763213,0.00009633
ckpt_e4_s116000.safetensors,4,116000,13.214299,2.435448,1.131907,3.760880,0.00009627
ckpt_e4_s117000.safetensors,4,117000,13.262318,2.394166,1.106685,3.764738,0.00009621
ckpt_e4_s118000.safetensors,4,118000,13.249743,2.392036,1.089270,3.787807,0.00009614
ckpt_e4_s119000.safetensors,4,119000,13.246822,2.369040,1.079907,3.776899,0.00009608
ckpt_e4_s120000.safetensors,4,120000,13.233032,2.372309,1.079081,3.776192,0.00009601
ckpt_e4_s121000.safetensors,4,121000,13.221845,2.452701,1.153894,3.753768,0.00009595
ckpt_e4_s122000.safetensors,4,122000,13.230735,2.397939,1.104520,3.771188,0.00009588
ckpt_e4_s123000.safetensors,4,123000,13.232487,2.459765,1.151581,3.769306,0.00009581
ckpt_e4_s124000.safetensors,4,124000,13.212180,2.432577,1.145574,3.747371,0.00009574
ckpt_e4_s125000.safetensors,4,125000,13.214955,2.451936,1.155658,3.761994,0.00009568
ckpt_e4_s126000.safetensors,4,126000,13.202609,2.431823,1.122913,3.768805,0.00009561
ckpt_e4_s127000.safetensors,4,127000,13.202788,2.395717,1.110739,3.758799,0.00009554
ckpt_e4_s128000.safetensors,4,128000,13.208063,2.365007,1.076537,3.771649,0.00009547
ckpt_e4_s129000.safetensors,4,129000,13.187950,2.388846,1.090546,3.765580,0.00009540
ckpt_e4_s130000.safetensors,4,130000,13.192263,2.398007,1.128044,3.749157,0.00009533
ckpt_e4_s131000.safetensors,4,131000,13.176213,2.379286,1.082151,3.767529,0.00009526
ckpt_e4_s132000.safetensors,4,132000,13.178604,2.413629,1.119729,3.760692,0.00009519
ckpt_e4_s133000.safetensors,4,133000,13.170898,2.397902,1.108024,3.750216,0.00009512
ckpt_e4_s134000.safetensors,4,134000,13.168203,2.400757,1.113171,3.754666,0.00009504
ckpt_e4_s135000.safetensors,4,135000,13.164751,2.454295,1.141293,3.764462,0.00009497
ckpt_e4_s136000.safetensors,4,136000,13.151802,2.382710,1.105028,3.751318,0.00009490
ckpt_e4_s137000.safetensors,4,137000,13.148676,2.387300,1.085948,3.768644,0.00009482
ckpt_e4_s138000.safetensors,4,138000,13.154339,2.370065,1.087144,3.753579,0.00009475
ckpt_e4_s139000.safetensors,4,139000,13.154116,2.392544,1.104083,3.756361,0.00009467
ckpt_e4_s140000.safetensors,4,140000,13.142574,2.400193,1.113080,3.745818,0.00009460
ckpt_e4_s141000.safetensors,4,141000,13.139875,2.378539,1.097003,3.755624,0.00009452
ckpt_e4_s142000.safetensors,4,142000,13.135264,2.404230,1.120701,3.746888,0.00009445
ckpt_e4_s143000.safetensors,4,143000,13.128861,2.356116,1.075468,3.753045,0.00009437
ckpt_e4_s144000.safetensors,4,144000,13.125052,2.450984,1.155113,3.744222,0.00009429
ckpt_e4_s145000.safetensors,4,145000,13.123635,2.384473,1.100071,3.754003,0.00009421
ckpt_e4_s146000.safetensors,4,146000,13.117330,2.368542,1.083576,3.754938,0.00009414
ckpt_e4_s147000.safetensors,4,147000,13.114240,2.393131,1.111140,3.744071,0.00009406
ckpt_e4_s148000.safetensors,4,148000,13.112662,2.380602,1.101410,3.741417,0.00009398
ckpt_e5_s149000.safetensors,5,149000,13.131628,2.414572,1.122625,3.755700,0.00009390
ckpt_e5_s150000.safetensors,5,150000,13.059108,2.396217,1.105730,3.750355,0.00009382
ckpt_e5_s151000.safetensors,5,151000,12.990325,2.381617,1.096043,3.752753,0.00009374
ckpt_e5_s152000.safetensors,5,152000,13.055469,2.372239,1.086130,3.763748,0.00009366
ckpt_e5_s153000.safetensors,5,153000,13.049682,2.357159,1.066024,3.772302,0.00009357
ckpt_e5_s154000.safetensors,5,154000,13.023649,2.534175,1.251129,3.731263,0.00009349
ckpt_e5_s155000.safetensors,5,155000,13.054552,2.422598,1.126135,3.753355,0.00009341
ckpt_e5_s156000.safetensors,5,156000,13.034273,2.386970,1.096301,3.755195,0.00009333
