ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,lr
ckpt_e3_s86000.safetensors,3,86000,27.445734,2.138422,0.807008,3.708602,0.00009794
ckpt_e3_s87000.safetensors,3,87000,27.410058,2.099144,0.797949,3.694857,0.00009789
ckpt_e3_s88000.safetensors,3,88000,27.367233,2.070334,0.731272,3.715348,0.00009784
ckpt_e3_s89000.safetensors,3,89000,27.338672,2.090974,0.761743,3.711310,0.00009779
ckpt_e3_s90000.safetensors,3,90000,27.312351,1.988317,0.650657,3.731631,0.00009774
ckpt_e3_s91000.safetensors,3,91000,27.294806,2.235010,0.956422,3.688591,0.00009769
ckpt_e3_s92000.safetensors,3,92000,27.260880,2.121109,0.793808,3.706576,0.00009764
ckpt_e3_s93000.safetensors,3,93000,27.222842,1.988475,0.664844,3.714040,0.00009759
ckpt_e3_s94000.safetensors,3,94000,27.221802,1.995697,0.677588,3.710987,0.00009754
ckpt_e3_s95000.safetensors,3,95000,27.193793,2.093218,0.777415,3.686391,0.00009749
ckpt_e3_s96000.safetensors,3,96000,27.158394,1.980358,0.658285,3.700582,0.00009743
ckpt_e3_s97000.safetensors,3,97000,27.133981,2.019314,0.708442,3.695639,0.00009738
ckpt_e3_s98000.safetensors,3,98000,27.109664,1.970769,0.621198,3.703523,0.00009733
ckpt_e3_s99000.safetensors,3,99000,27.100599,2.060084,0.751286,3.674164,0.00009727
ckpt_e3_s100000.safetensors,3,100000,27.075807,2.048137,0.705500,3.685815,0.00009722
ckpt_e3_s101000.safetensors,3,101000,27.041814,2.132049,0.816582,3.658331,0.00009716
ckpt_e3_s102000.safetensors,3,102000,27.010460,1.968645,0.641858,3.680834,0.00009711
ckpt_e3_s103000.safetensors,3,103000,26.992230,2.082301,0.776818,3.653506,0.00009705
ckpt_e3_s104000.safetensors,3,104000,26.961007,2.103938,0.799260,3.648461,0.00009699
ckpt_e3_s105000.safetensors,3,105000,26.940468,2.046330,0.761277,3.655151,0.00009694
ckpt_e3_s106000.safetensors,3,106000,26.918055,2.036392,0.740648,3.659280,0.00009688
ckpt_e3_s107000.safetensors,3,107000,26.894142,1.894179,0.572025,3.686634,0.00009682
ckpt_e3_s108000.safetensors,3,108000,26.870858,2.016747,0.697678,3.661549,0.00009676
ckpt_e3_s109000.safetensors,3,109000,26.841068,2.042112,0.709930,3.651682,0.00009670
ckpt_e3_s110000.safetensors,3,110000,26.829524,1.930159,0.609880,3.680167,0.00009664
ckpt_e3_s111000.safetensors,3,111000,26.807106,1.918343,0.605368,3.676594,0.00009658
ckpt_e4_s112000.safetensors,4,112000,25.472833,2.012969,0.714473,3.645527,0.00009652
ckpt_e4_s113000.safetensors,4,113000,25.491418,1.944490,0.615785,3.670087,0.00009646
ckpt_e4_s114000.safetensors,4,114000,25.410804,2.060082,0.802061,3.620911,0.00009639
ckpt_e4_s115000.safetensors,4,115000,25.437190,2.026127,0.722918,3.641655,0.00009633
ckpt_e4_s116000.safetensors,4,116000,25.343520,1.913404,0.610583,3.655001,0.00009627
ckpt_e4_s117000.safetensors,4,117000,25.349061,1.957375,0.663321,3.639588,0.00009621
ckpt_e4_s118000.safetensors,4,118000,25.326885,1.869326,0.569165,3.663320,0.00009614
ckpt_e4_s119000.safetensors,4,119000,25.334528,1.945757,0.625913,3.651750,0.00009608
